index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
237	0.94625	385.0849526910255	0.30312197269925145	184.20115352914976	237	30.41234445522347	101
238	0.948	403.9242003003957	0.29593002812939506	189.74685329316904	238	28.39391064865177	105
239	0.95775	393.2901477276688	0.30650830940572543	184.4839025267536	239	29.820456881362578	63
240	0.94625	393.89745137423347	0.2950902686041388	192.53484198827655	240	29.312143687684777	249
241	0.9445	386.29066890250584	0.30222339862360986	186.154485130592	241	30.36117189567892	247
242	0.94625	385.6656681135973	0.29796125055041783	190.03734810303604	242	28.814366036044525	248
243	0.958	400.42634119838533	0.2952635699373692	192.18675857197093	243	29.281060514934527	71
244	0.93975	377.3906932383221	0.30052318879134493	186.8612918826186	244	30.190475965322122	74
245	0.953	410.899840469171	0.29752973067506105	189.1158056791028	245	28.83263469321113	72
246	0.9485	395.0848693116351	0.29512827271129843	192.30877777597027	246	28.830139539816148	250
247	0.95275	398.2485840282461	0.2912052829528556	196.0967534466787	247	29.63155544804513	66
248	0.92425	367.22855184605294	0.2915111351546295	192.98290928409597	248	30.288475271938648	69
249	0.962	405.24458954245455	0.2940358627858625	194.85782194464628	249	28.409324327708106	68
250	0.938	385.2828522431706	0.29098702914001395	196.97036894351123	250	29.474433947727885	70
251	0.96925	415.5546266224932	0.2966984782047973	192.82687228351392	251	28.52568126800146	67
252	0.9475	378.421015845719	0.29530343007915544	190.10275365695588	252	30.93065143675792	76
253	0.953	387.10332571719624	0.2999912556838055	186.64490169821613	253	30.162970502278995	75
254	0.9535	382.72422582130514	0.3018047544135639	186.65393862958217	254	30.051456906299165	77
255	0.96575	438.5536697507589	0.29187591681767183	197.71382595863315	255	28.996905993156247	1
