index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
122	0.98825	458.0904592492746	0.2831689012564295	204.3076097742425	122	115.56900030435742
123	0.96825	450.0296301460117	0.28259746966176075	207.39607287597278	123	116.53927405071974
124	0.984	474.2740089166904	0.2870680894308943	203.38777150848648	124	117.39830396698744
125	0.9925	475.2669635589048	0.29020151133501243	195.7885341186803	125	117.21678762594456
126	0.993	466.0823036575441	0.28126468613628725	216.54014846833056	126	115.48819672276244
127	0.991	468.9237466581311	0.28438446014127133	208.3158012704513	127	120.62739277521125
128	0.92375	383.4698049960526	0.2834460983310777	201.86983756824628	128	109.62239280277407
129	0.91175	361.9384099321904	0.2803400054839592	211.0626476751069	129	106.34138425703776
130	0.95775	436.34748339924204	0.28231967284433984	209.33876167534186	130	122.19747215356628
131	0.9385	402.15109054289263	0.28165068371514784	207.70061231405006	131	110.86784384850603
132	0.992	497.84826167152505	0.29584173387096757	185.10925012605264	132	119.30336215111521
133	0.999	492.26372326798355	0.2845136803470134	208.9828959093008	133	120.17268362112112
134	0.9845	454.40384016251477	0.2835830370746571	211.7074993380177	134	118.18782426437915
135	0.942	406.0694887490729	0.28299716914366574	206.0789363115275	135	112.97388130722535
136	0.9985	495.7980063805208	0.29295192789183755	194.89429221548008	136	119.86705331434648
137	0.9835	459.0324613194458	0.29126419250974406	194.04573559690192	137	118.71422147067236
138	0.9975	491.2522623459112	0.2932289055973264	193.0652831787833	138	117.65315872689531
139	0.93025	380.79741291095354	0.2770760548239717	222.72562135219638	139	113.15927831480116
140	0.95125	435.54904362358025	0.2890363556723607	194.34600709890668	140	117.50168117608418
141	0.97	445.64917761650656	0.2932130584192438	189.85648565363465	141	117.36958168894976
142	0.99225	482.817346876738	0.2972411186696902	186.00651163531413	142	118.44419760959934
143	0.97875	473.35203366058636	0.29688803746274983	183.18999849137595	143	117.30713167504786
144	0.991	472.9012323586973	0.29362596703666316	190.4068495536494	144	118.03960778845546
145	0.9715	460.30110278000745	0.28731772173614667	200.98478476813972	145	117.18309285335175
146	0.99	472.3282442748092	0.28396043771043755	207.47537523732979	146	118.27820386482009
147	0.9925	480.48411497725294	0.28596977329974804	202.20284083290932	147	118.38849427345723
148	0.99225	487.0297199793627	0.29498614260519035	185.71205668541057	148	117.49149049666161
149	0.9925	479.74671307038165	0.28828715365239294	197.55599274291671	149	117.3391978412311
150	0.99075	470.6147798928257	0.2826478257212548	213.24548243242518	150	117.25863204366959
151	0.9765	467.0014347202556	0.27885731353473275	222.02003863777082	151	120.70960381464413
152	0.998	487.5427454811781	0.28724949899799596	202.78266742924478	152	118.48292639967435
153	0.98	472.31191864666323	0.28983418367346936	196.9957975381136	153	117.01055982940056
154	0.9755	476.51031299225633	0.2873739962412436	199.20753554387107	154	117.44980368641082
155	0.97475	471.3605261249965	0.29261776523895	188.76579598872422	155	118.92438110132409
156	0.96175	438.3146477076137	0.28451607313057775	207.11269495503186	156	118.85676247319338
157	0.994	492.6462388640277	0.29231639839034196	191.69217666323343	157	119.58144084231957
158	0.9855	474.4710045497512	0.2934170471841704	190.3053926452751	158	118.91788442177199
